投開票所編號,設置地點,詳細地址,所轄村里鄰名稱
第1投開票所,光復國小,宜蘭市泰山路60號,民族里1-4鄰、8、14-15鄰
第2投開票所,光復國小,宜蘭市泰山路60號,民族里5-7鄰、9、10、11-13鄰
第3投開票所,宜蘭高中學生活動中心,宜蘭市復興路3段8號,建軍里1-4鄰
第4投開票所,宜蘭高中學生宿舍,宜蘭市復興路3段8號,建軍里5-8鄰
第5投開票所,南屏國小,宜蘭市泰山路98號,泰山里1-6鄰
第6投開票所,南屏國小,宜蘭市泰山路98號,泰山里7-11鄰
第7投開票所,光復國小,宜蘭市泰山路60號,負郭里6-8鄰、14-16鄰
第8投開票所,南屏國小,宜蘭市泰山路98號,負郭里1、3、4、9、11-12鄰
第9投開票所,光復國小,宜蘭市泰山路60號,負郭里2、5、10、13鄰
第10投開票所,宜蘭大學,宜蘭市神農路1段1號,思源里1-4、11-12鄰
第11投開票所,培爾傑特幼兒園,宜蘭市民族路582號,思源里5-10鄰
第12投開票所,宜蘭大學,宜蘭市神農路1段1號,思源里13-16鄰
第13投開票所,諾貝爾幼兒園,宜蘭市農權路3段89號,七結里1-4鄰、10鄰
第14投開票所,思源里民眾活動中心,宜蘭市泰山路七結巷9之10號,七結里5-9鄰
第15投開票所,復興國中,宜蘭市復興路2段77號,文化里1-7鄰
第16投開票所,復興國中,宜蘭市復興路2段77號,文化里8-13鄰
第17投開票所,金六結福德廟,宜蘭市民權新路259巷42號,文化里14-16鄰
第18投開票所,篤行國宅社區互助管理委員會,宜蘭市民權新路47巷25號,復興里1-2鄰、6-9鄰
第19投開票所,蘭陽女中,宜蘭市女中路2段355號,復興里3-5鄰、10鄰
第20投開票所,宜蘭大學,宜蘭市神農路1段1號,復興里11-16鄰
第21投開票所,私立芝麻村國際幼兒園,宜蘭市中華路233號,民權里1-6鄰
第22投開票所,宜蘭市衛生所,宜蘭市復興路1段3號,民權里7-11鄰
第23投開票所,宜蘭市社會福利大樓1樓,宜蘭市民權路1段65號,神農里13-17鄰
第24投開票所,宜蘭國小,宜蘭市崇聖街2號,神農里1-5鄰
第25投開票所,宜蘭國小,宜蘭市崇聖街2號,神農里6-12鄰
第26投開票所,中山國小,宜蘭市崇聖街4號,大新里
第27投開票所,新民堂,宜蘭市新民路153號,新民里1-2、12-17鄰
第28投開票所,中山國小,宜蘭市崇聖街4號,新民里3-11鄰
第29投開票所,進士社區活動中心,宜蘭市進士路53號,進士里1-7鄰、10鄰
第30投開票所,宜蘭大學,宜蘭市神農路1段1號,進士里8-9、11-12鄰
第31投開票所,南橋社區活動中心,宜蘭市南橋路240號,南橋里
第32投開票所,凱旋社區活動中心,宜蘭市旋流路3之5號,凱旋里
第33投開票所,凱旋國小,宜蘭市凱旋路130號,南津里1-8鄰
第34投開票所,凱旋國小,宜蘭市凱旋路130號,南津里9-13鄰
第35投開票所,建業社區活動中心,宜蘭市建業路86巷57號,建業里1-5鄰
第36投開票所,凱旋國中,宜蘭市縣政七街50巷1號,建業里6-11鄰
第37投開票所,蘭陽女中,宜蘭市女中路2段355號,擺厘里1-3鄰、12鄰
第38投開票所,蘭陽女中,宜蘭市女中路2段355號,擺厘里4-6鄰、11鄰
第39投開票所,蘭陽女中,宜蘭市女中路2段355號,擺厘里7-10鄰
第40投開票所,五大社區活動中心,宜蘭市東港路2巷14弄21號,延平里1至6鄰
第41投開票所,黎明國小,宜蘭市校舍路1號,延平里7、10、14、15鄰
第42投開票所,宜蘭高商,宜蘭市延平路50號,延平里8-9、11-13、16、17鄰
第43投開票所,宜蘭高商,宜蘭市延平路50號,成功里1-6鄰
第44投開票所,宜蘭高商,宜蘭市延平路50號,成功里7-9、11鄰
第45投開票所,延平社區活動中心,宜蘭市環市東路2段890號（黎霧橋下）,成功里10、12-16鄰
第46投開票所,黎明國小,宜蘭市校舍路1號,東村里1-3鄰、6鄰
第47投開票所,黎明國小,宜蘭市校舍路1號,東村里4-5鄰、7-10鄰
第48投開票所,黎明國小,宜蘭市校舍路1號,新東里1-5鄰
第49投開票所,黎明國小,宜蘭市校舍路1號,新東里6-9鄰
第50投開票所,黎明國小,宜蘭市校舍路1號,新東里10-14鄰
第51投開票所,宜蘭市幼兒園,宜蘭市黎明二路239號,黎明里1-7鄰
第52投開票所,宜蘭市幼兒園,宜蘭市黎明二路239號,黎明里8-11鄰
第53投開票所,七張社區活動中心,宜蘭市七張路537號,七張里
第54投開票所,力行國小,宜蘭市力行路152號,孝廉里
第55投開票所,宜蘭縣政府衛生局（長照大樓）,宜蘭市聖後街141號,東門里
第56投開票所,宜蘭國中,宜蘭市樹人路37號,小東里1-5鄰
第57投開票所,宜蘭國中,宜蘭市樹人路37號,小東里6-10鄰
第58投開票所,宜蘭國中活動中心,宜蘭市樹人路37號,菜園里
第59投開票所,慈安寺,宜蘭市慈安路77號,慈安里1-4鄰
第60投開票所,慈安寺,宜蘭市慈安路77號,慈安里5-10鄰
第61投開票所,慈安寺,宜蘭市慈安路77號,中興里1-3鄰
第62投開票所,宜蘭高商,宜蘭市延平路50號,中興里4-6鄰
第63投開票所,宜蘭高商,宜蘭市延平路50號,中興里7-8鄰
第64投開票所,新生社區活動中心,宜蘭市大福路1段243號,新生里1-8鄰
第65投開票所,宜蘭農田水利會壯圍工作站,宜蘭市大福路2段185號,新生里9-15鄰
第66投開票所,新生國小,宜蘭市大坡路1段100號,茭白里1-6鄰
第67投開票所,茭白社區活動中心,宜蘭市一結路98號,茭白里7-13鄰
第68投開票所,新生帝王廟,宜蘭市北津路31之5號,北津里1-7鄰
第69投開票所,北津社區活動中心,宜蘭市金同春路231號,北津里8-13鄰
第70投開票所,梅洲社區活動中心,宜蘭市金同春路48號,梅洲里15-18鄰
第71投開票所,昭安宮（原梅洲托兒所）,宜蘭市大坡路1段305巷62號,梅洲里6-12、14鄰
第72投開票所,慈航宮管理委員會,宜蘭市金同春路67號,梅洲里1-5、13鄰
第73投開票所,蘭陽林姓興德會（林姓家廟）,宜蘭市南興街22號,南門里1-3鄰、8-10鄰
第74投開票所,文昌宮,宜蘭市文昌路66號,南門里4-7鄰、11-13鄰
第75投開票所,武穆文史館,宜蘭市城隍街56號,中山里
第76投開票所,西關廟,宜蘭市舊城西路29號,西門里8-12鄰
第77投開票所,光明寺,宜蘭市西門路91號,西門里1-7鄰
第78投開票所,慶和社區活動中心,宜蘭市碧霞街136號,北門里
第79投開票所,羅東國小,羅東鎮民族路1號,開明里1-13鄰
第80投開票所,羅東國小,羅東鎮民族路1號,開明里14-26鄰
第81投開票所,義消聯誼會（舊消防隊）,羅東鎮中正路128號,大新里
第82投開票所,東安社區活動中心,羅東鎮天祥路171號,東安里2-4鄰、7-9鄰、11鄰、13至18鄰、21鄰
第83投開票所,羅東獅子會館,羅東鎮天祥路360號,東安里1鄰、19鄰、23-26鄰、28-29鄰
第84投開票所,愛貝爾幼兒園,羅東鎮陽明路158號,東安里5-6鄰、10、12、20、22鄰、27鄰
第85投開票所,新群社區活動中心,羅東鎮月眉路300號,新群里1-7鄰、14-15鄰
第86投開票所,救安宮,羅東鎮中山路1段460號,新群里8-13鄰、16-17鄰
第87投開票所,羅莊社區活動中心,羅東鎮羅莊街357號,羅莊里1-10鄰
第88投開票所,小甜甜幼兒園,羅東鎮南宜二路16號,羅莊里11-22鄰
第89投開票所,"第三號公園管理站（南昌社區活動中心）",羅東鎮站前南路1號,南昌里10、12、14鄰、17-23鄰
第90投開票所,羅東國小,羅東鎮民族路1號,南昌里1-9鄰、11、13、15、16鄰
第91投開票所,"成功國小（大禮堂）",羅東鎮興東南路100號,南豪里
第92投開票所,南豪社區活動中心,羅東鎮體育路40號,成功里
第93投開票所,仁德社區活動中心,羅東鎮忠義巷92之1號,仁德里
第94投開票所,震安宮（香客大樓1樓）,羅東鎮中正街22號,仁和里
第95投開票所,扶輪兒童美語圖書館,羅東鎮民權路110號,中山里
第96投開票所,聖安宮,羅東鎮忠孝路48號,漢民里3-6鄰、8鄰、20-22鄰、25、26、32鄰
第97投開票所,孔子廟,羅東鎮北成路1段26號,漢民里2、10鄰、18鄰、23鄰、27-31鄰、33鄰
第98投開票所,漢民社區活動中心,羅東鎮純精路1段219號,漢民里1、7、9鄰、11-17鄰、19、24、34鄰
第99投開票所,慶昌宮（原鎮立托兒所西安分所）,羅東鎮西寧路66號,維揚里1-7鄰、9鄰
第100投開票所,爐源寺,羅東鎮維揚路55巷16號,維揚里12-14鄰、18-19鄰、20鄰、24鄰
第101投開票所,羅東鎮立養護所,羅東鎮維揚路132號,維揚里8鄰、10-11鄰、15-17鄰、21-23鄰
第102投開票所,維安社區活動中心,羅東鎮西安街468號,西安里1-5鄰、7-8鄰、12、19鄰
第103投開票所,羅東鎮農會（三館）,羅東鎮純精路1段109號,西安里6、9-11鄰、13-18鄰
第104投開票所,興安宮辦公室,羅東鎮北成路2段38號,北成里10-11鄰、13-,17鄰
第105投開票所,永福宮,羅東鎮北投街62巷65號,北成里2-3鄰、6-7鄰、18鄰
第106投開票所,北成國小,羅東鎮北成路1段125號,北成里1鄰、4-5鄰、8-9鄰、12鄰
第107投開票所,北成國小,羅東鎮北成路1段125號,國華里3-9鄰
第108投開票所,國華國中,羅東鎮國華街101號,國華里2鄰、10-17鄰
第109投開票所,國華國中,羅東鎮國華街101號,國華里1鄰、18-23鄰
第110投開票所,國華國中,羅東鎮國華街101號,國華里24-29鄰
第111投開票所,國華國中,羅東鎮國華街101號,賢文里15-17鄰、21-24鄰、27、30-31鄰、37-41鄰
第112投開票所,羅東鎮衛生所,羅東鎮民生路79號,賢文里1-10鄰、29、32鄰
第113投開票所,公正國小,羅東鎮公正路199號,賢文里11-14鄰、18-20鄰、25-26鄰、28鄰、33-36鄰
第114投開票所,公正國小,羅東鎮公正路199號,公正里1-14鄰
第115投開票所,公正國小,羅東鎮公正路199號,公正里15-26鄰
第116投開票所,羅東鎮老人會,羅東鎮公園路113號,集祥里
第117投開票所,"第一號公園管理站（信義社區活動中心）",羅東鎮中華路189號,信義里4鄰、6鄰、9-13鄰、15-16鄰、21-23鄰、26鄰
第118投開票所,羅東國中,羅東鎮中華路99號,信義里1、7、8、14、17、18鄰
第119投開票所,羅東國中,羅東鎮中華路99號,信義里2、3、5、19、20、24、25鄰
第120投開票所,"第五號公園管理站（樹林社區活動中心）",羅東鎮文林路130號,樹林里6-13鄰、22鄰
第121投開票所,羅東高中,羅東鎮公正路324號,樹林里1-5鄰、20-21鄰
第122投開票所,羅東高中,羅東鎮公正路324號,樹林里14-19鄰
第123投開票所,竹林國小,羅東鎮復興路2段128號,竹林里1-7鄰
第124投開票所,竹林國小,羅東鎮復興路2段128號,竹林里8-13鄰、24-27鄰
第125投開票所,竹林國小,羅東鎮復興路2段128號,竹林里14-23鄰
第126投開票所,"羅東鎮立圖書館仁愛圖書室",羅東鎮復興路3段159號,仁愛里1、10鄰、12-15鄰、20-21鄰
第127投開票所,仁愛社區活動中心,羅東鎮復興路3段577號,仁愛里2-7鄰、19鄰
第128投開票所,羅東鎮立幼兒園,羅東鎮復興路3段579號,仁愛里8-9鄰、11鄰、16-18鄰
第129投開票所,龍德社區新活動中心,蘇澳鎮龍德里福德路177巷27號,龍德里8-17鄰、26-27鄰
第130投開票所,龍德社區舊活動中心,蘇澳鎮龍德里福德路150號,龍德里18-25鄰
第131投開票所,頂寮文教活動中心,蘇澳鎮頂寮里頂寮路2號,龍德里1-7鄰
第132投開票所,頂寮社區活動中心,蘇澳鎮頂寮里頂寮路20巷1號,頂寮里
第133投開票所,建安廟,蘇澳鎮永榮里永愛路250號,永榮里10-11鄰、13-14鄰、24-,26鄰
第134投開票所,永榮社區活動中心,蘇澳鎮永榮里和平路,51號,永榮里12鄰、15-22鄰
第135投開票所,聖安宮,蘇澳鎮永榮里大同南巷5號,永榮里1-9鄰、23鄰
第136投開票所,存仁社區活動中心,蘇澳鎮存仁里存仁路199之1號（功勞埔）,存仁里1-8鄰
第137投開票所,大玄廟活動中心,蘇澳鎮存仁里大成路49之1號（大坑罟）,存仁里9-14鄰
第138投開票所,永安宮生活館,蘇澳鎮港邊里嶺腳路88之1號,港邊里1-11鄰
第139投開票所,港口集會所,蘇澳鎮港邊里港口路14號,港邊里12-15鄰
第140投開票所,社福大樓,蘇澳鎮隘丁里隘丁路36號,隘丁里5、9、14、15鄰
第141投開票所,隘丁社區活動中心,蘇澳鎮隘丁里城中路40號,隘丁里6-8鄰、10-13鄰
第142投開票所,保安廟活動中心,蘇澳鎮隘丁里城南路22號,隘丁里1-4鄰、16-18鄰
第143投開票所,慶安廟活動中心,蘇澳鎮新城里慶安路1號,新城里
第144投開票所,蘇澳國小活動中心之國樂教室,蘇澳鎮蘇西里中山路1段366號,聖愛里1-8鄰
第145投開票所,蘇澳國中體育館前段,蘇澳鎮聖湖里中山路2段1號,聖愛里15-19鄰
第146投開票所,蘇澳國中體育館後段,蘇澳鎮聖湖里中山路2段1號,聖愛里9-12鄰、13-14鄰、20-21鄰
第147投開票所,周爺廟,蘇澳鎮聖湖里志成路115巷101號,聖湖里1-3鄰、8-13鄰
第148投開票所,聖湖社區活動中心,蘇澳鎮聖湖里全祿街10號,聖湖里4-7鄰、14-17鄰
第149投開票所,寶山寺,蘇澳鎮蘇西里中原路25號（後門-華中街）,蘇西里1-12鄰、17-18鄰
第150投開票所,蘇澳福德宮,蘇澳鎮蘇西里中山路1段198-16號,蘇西里13-16鄰、19-21鄰
第151投開票所,蘇西社區活動中心,蘇澳鎮蘇西里志成路62號,蘇西里22-33鄰
第152投開票所,蘇北社區活動中心,蘇澳鎮蘇北里新生路8號,蘇北里
第153投開票所,蘇南社區活動中心,蘇澳鎮蘇南里光復路27巷4號,蘇南里
第154投開票所,蘇東社區活動中心,蘇澳鎮蘇東里蘇花路5段101巷1號,蘇東里
第155投開票所,長安社區活動中心,蘇澳鎮長安里勝利路1號,長安里
第156投開票所,永光社區活動中心,蘇澳鎮永光里蘇港路85號,永光里
第157投開票所,永春社區活動中心,蘇澳鎮永春里永春路134巷11之1號,永春里
第158投開票所,永樂社區活動中心,蘇澳鎮永樂里永樂路116巷6號,永樂里
第159投開票所,鎮安廟餐廳,蘇澳鎮南安里海邊路77號,南安里
第160投開票所,宜蘭縣蘇澳鎮南方澳老人會,蘇澳鎮南正里江夏路15號,南正里
第161投開票所,南成社區活動中心,蘇澳鎮南成里民生路15號,南成里
第162投開票所,南興社區活動中心,蘇澳鎮南興里華山五巷16之2號,南興里1-7鄰
第163投開票所,南光寺,蘇澳鎮南興里華山七巷14號,南興里8-15鄰
第164投開票所,南寧社區活動中心,蘇澳鎮南寧里南新路9號,南寧里
第165投開票所,昭安社區活動中心,蘇澳鎮南建里內埤路117之2號,南建里1-2鄰、5、6、11、12鄰
第166投開票所,南安國中104教室（工具教室）,蘇澳鎮南建里學府路117號,南建里3-4鄰、7-10鄰
第167投開票所,東澳社區活動中心,蘇澳鎮東澳里東澳路103號,東澳里
第168投開票所,南強社區活動中心,蘇澳鎮南強里南澳路2之6號,南強里
第169投開票所,朝陽社區活動中心,蘇澳鎮朝陽里朝陽路40號,朝陽里5至13鄰
第170投開票所,海岸社區活動中心,蘇澳鎮朝陽里海岸路69號,朝陽里1-4鄰
第171投開票所,石城社區活動中心,頭城鎮石城里石城路40之8號,石城里
第172投開票所,大里社區活動中心,頭城鎮大里里濱海路6段251號,大里里
第173投開票所,龜山島社區活動中心,頭城鎮龜山里龜山路221號,龜山里
第174投開票所,大溪社區活動中心,頭城鎮大溪里濱海路5段249號,大溪里
第175投開票所,合興社區活動中心,頭城鎮合興里合興路94之1號,合興里
第176投開票所,梗枋國民小學,頭城鎮更新里更新路59號,更新里1-6鄰
第177投開票所,更新里漁民多功能活動中心,頭城鎮更新里濱海路3段93號,更新里7-12鄰
第178投開票所,外澳社區活動中心,頭城鎮外澳里濱海路2段212號,外澳里
第179投開票所,港口社區活動中心,頭城鎮港口里港口路60之3號,港口里
第180投開票所,武營社區活動中心,頭城鎮武營里開蘭路224號,武營里1-5鄰、11-12鄰、14-15鄰
第181投開票所,開蘭長青集會所,頭城鎮武營里武營路16-8號,武營里6-10鄰、13鄰
第182投開票所,大坑社區活動中心,頭城鎮大坑里協天路602號,大坑里1-5鄰
第183投開票所,協天宮香客大樓,頭城鎮大坑里協天路636巷36號,大坑里6-10鄰
第184投開票所,城東社區活動中心,頭城鎮城東里開蘭舊路6號,城東里
第185投開票所,慶安堂,頭城鎮城北里西四巷5號,城北里
第186投開票所,"頭城鎮長壽老人會（喚醒堂旁）",頭城鎮城西里纘祥路39號,城西里
第187投開票所,舊鎮立圖書館,頭城鎮城南里青雲路3段126號,城南里
第188投開票所,竹安社區活動中心,頭城鎮竹安里頭濱路1段466號,竹安里1-10鄰
第189投開票所,泰安廟,頭城鎮竹安里頭濱路2段426號,竹安里11-20鄰
第190投開票所,"開成寺聯誼中心城隍廟",頭城鎮吉祥路1號,新建里1-7鄰
第191投開票所,新建社區活動中心,頭城鎮新建里新興路234之1號,新建里8-15鄰
第192投開票所,拔雅社區活動中心,頭城鎮拔雅里復興路12巷2號,拔雅里1-7鄰
第193投開票所,頭城國中,頭城鎮拔雅里復興路145號,拔雅里8-11鄰
第194投開票所,福成社區活動中心,頭城鎮福成里宜三路2段378號,福成里
第195投開票所,頭城鎮長青文康活動中心,頭城鎮金面里金面路200之5號,金面里1-6鄰
第196投開票所,金面協天廟會議廳,頭城鎮金面里金面路354之6號,金面里7-16鄰
第197投開票所,金盈社區活動中心,頭城鎮金盈里金盈路39號,金盈里
第198投開票所,順天府池府王爺廟（聯誼廳）,頭城鎮頂埔里頂埔路一段250號,頂埔里1-4鄰
第199投開票所,頂埔社區活動中心,頭城鎮頂埔里頂埔路2段116號,頂埔里5-10鄰
第200投開票所,下埔社區活動中心,頭城鎮下埔里下埔路48之3號,下埔里
第201投開票所,中崙社區活動中心,頭城鎮中崙里中崙路31號,中崙里
