鄉市別,投開票所編號,村里別,所轄鄰別,投票所名稱,備註
馬公市,1,復興里,1鄰-12鄰,南甲海靈殿倉庫,
馬公市,2,長安里,1鄰-19鄰,中正國民小學2年3班教室,
馬公市,3,中央里,1鄰-16鄰,澎湖天后宮（東廂房）,新設
馬公市,4,啟明里,1鄰-25鄰,馬公東甲北極殿活動中心,
馬公市,5,重慶里,1鄰-33鄰,中正國民小學2年2班教室,
馬公市,6,中興里,1鄰-19鄰,澎湖縣政府衛生局,
馬公市,7,光復里,1鄰-15鄰及29鄰,一新社,
馬公市,8,光復里,16鄰-28鄰,文光國中9年1班教室,
馬公市,9,光明里,1鄰-33鄰,文光國中9年3班教室,
馬公市,10,光榮里,1鄰-8鄰及31-33鄰,龍行新城B區活動中心,
馬公市,11,光榮里,10鄰-19鄰及24鄰,文光國小南側2年1班教室,
馬公市,12,光榮里,9鄰及20鄰-23鄰及25-30鄰及34鄰,光榮社區活動中心,
馬公市,13,朝陽里,1鄰-10鄰,中興國小第二棟東側2年1班教室,
馬公市,14,朝陽里,11鄰-18鄰,中興國小第二棟西側潛能開發班教室,
馬公市,15,朝陽里,19鄰-28鄰及30鄰,馬公高中崇正堂西側,
馬公市,16,朝陽里,29鄰及31-37鄰,馬公高中崇正堂東側,
馬公市,17,陽明里,1鄰-16鄰,澎湖縣身心障礙福利服務中心,
馬公市,18,陽明里,17鄰-28鄰,文光國中9年2班教室,
馬公市,19,重光里,1鄰-13鄰,重光社區活動中心,
馬公市,20,西衛里,1鄰-10鄰,西衛舊社區活動中心,新設
馬公市,21,西衛里,11鄰-23鄰,西衛宸威殿1樓會議室,新設
馬公市,22,西衛里,24鄰-30鄰,西衛社區暨農漁民活動中心（新活動中心）,新設
馬公市,23,西文里,1鄰-14鄰,西文社區活動中心北側,
馬公市,24,西文里,15鄰-24鄰,西文社區活動中心南側,
馬公市,25,東文里,1鄰-11鄰,東文社區活動中心東側,
馬公市,26,東文里,12鄰-18鄰,東文社區活動中心西側,
馬公市,27,案山里,1鄰-23鄰,案山社區暨農漁民活動中心,
馬公市,28,光華里,1鄰-15鄰,光華社區活動中心,
馬公市,29,前寮里,1鄰-8鄰,前寮社區活動中心,
馬公市,30,石泉里,1鄰-9鄰及17鄰,石泉社區活動中心,
馬公市,31,石泉里,10鄰-16鄰,中正國民中學8年2班教室,
馬公市,32,菜園里,1鄰-8鄰,菜園社區活動中心,
馬公市,33,東衛里,1鄰-12鄰及20鄰,東衛社區活動中心,
馬公市,34,東衛里,13鄰-19鄰及21鄰,東衛國小3年級教室,
馬公市,35,安宅里,1鄰-11鄰,安宅社區暨農漁民活動中心,
馬公市,36,興仁里,1鄰-14鄰,興仁社區活動中心,
馬公市,37,烏崁里,1鄰-13鄰,烏崁里民集會所,
馬公市,38,鐵線里,1鄰-7鄰,鐵線社區暨農漁民活動中心,
馬公市,39,鎖港里,1鄰-13鄰,鎖港新社區活動中心,
馬公市,40,鎖港里,14鄰-27鄰,鎖港舊社區活動中心,
馬公市,41,山水里,1鄰-12鄰,山水社區暨漁民活動中心南側,
馬公市,42,山水里,13鄰-22鄰,山水社區暨漁民活動中心北側,
馬公市,43,五德里,1鄰-8鄰,五德社區暨農漁民活動中心,
馬公市,44,井垵里,1鄰-7鄰,井垵社區暨農漁民活動中心,
馬公市,45,嵵裡里,1鄰-15鄰,嵵裡社區暨農漁民活動中心1樓,
馬公市,46,風櫃里,1鄰-18鄰,風櫃新社區活動中心,
馬公市,47,虎井里,1鄰-17鄰,虎井社區暨農漁民活動中心,
馬公市,48,桶盤里,1鄰-8鄰,桶盤社區暨農漁民活動中心,
湖西鄉,49,湖西村,1鄰-16鄰,湖西社區活動中心（新）,新設
湖西鄉,50,湖東村,1鄰-6鄰,湖東社區活動中心,
湖西鄉,51,青螺村,1鄰-8鄰,青螺村活動中心,新設
湖西鄉,52,白坑村,1鄰-5鄰,白坑社區活動中心（新）,
湖西鄉,53,南寮村,1鄰-19鄰,南寮社區活動中心（新）,
湖西鄉,54,北寮村,1鄰-7鄰,北寮社區活動中心,
湖西鄉,55,紅羅村,1鄰-12鄰,紅羅社區活動中心（新）,
湖西鄉,56,西溪村,1鄰-14鄰,西溪社區活動中心,
湖西鄉,57,成功村,1鄰-10鄰,成功社區暨農漁民活動中心,
湖西鄉,58,東石村,1鄰-5鄰,東石村泰靈殿,
湖西鄉,59,沙港村,1鄰-20鄰,沙港社區漁民活動中心,
湖西鄉,60,中西村,1鄰-7鄰,中西社區活動中心,
湖西鄉,61,鼎灣村,1鄰-6鄰,鼎灣社區活動中心,
湖西鄉,62,潭邊村,1鄰-6鄰,潭邊社區活動中心（新）,
湖西鄉,63,許家村,1鄰-6鄰,許家社區活動中心（新）,
湖西鄉,64,城北村,1鄰-8鄰,城北村民眾活動中心,
湖西鄉,65,太武村,1鄰-4鄰,太武村民眾活動中心,
湖西鄉,66,隘門村,1鄰-18鄰,隘門社區活動中心,
湖西鄉,67,林投村,1鄰-13鄰,林投社區活動中心,
湖西鄉,68,尖山村,1鄰-10鄰,尖山社區老人活動中心,新設
湖西鄉,69,龍門村,1鄰-10鄰,龍門社區活動中心,
湖西鄉,70,龍門村,11鄰-20鄰,原龍門村觀音宮,
湖西鄉,71,菓葉村,1鄰-18鄰,菓葉社區活動中心,
白沙鄉,72,中屯村,1鄰-11鄰,中屯社區暨漁民活動中心,新設
白沙鄉,73,講美村,1鄰-15鄰,講美社區暨漁民活動中心,
白沙鄉,74,城前村,1鄰-6鄰,城前社區活動中心,
白沙鄉,75,鎮海村,1鄰-8鄰,鎮海社區活動中心,
白沙鄉,76,港子村,1鄰-10鄰,港子社區暨漁民活動中心,
白沙鄉,77,岐頭村,1鄰-6鄰,岐頭社區活動中心,
白沙鄉,78,小赤村,1鄰-6鄰,小赤社區活動中心,
白沙鄉,79,赤崁村,1鄰-22鄰,赤崁社區活動中心,
白沙鄉,80,瓦硐村,1鄰-10鄰,瓦硐社區活動中心,
白沙鄉,81,後寮村,1鄰-23鄰,後寮社區活動中心,
白沙鄉,82,通梁村,1鄰-20鄰,通梁社區活動中心,
白沙鄉,83,吉貝村,1鄰-20鄰,吉貝社區活動中心,
白沙鄉,84,鳥嶼村,1鄰-10鄰,鳥嶼社區暨漁民活動中心,
白沙鄉,85,員貝村,1鄰-6鄰,員貝社區活動中心,新設
白沙鄉,86,大倉村,1鄰-6鄰,大倉水仙宮側室,新設
西嶼鄉,87,橫礁村,1鄰-6鄰,橫礁社區活動中心,
西嶼鄉,88,合界村,1鄰-14鄰,合界社區活動中心,
西嶼鄉,89,竹灣村,1鄰-27鄰,竹灣社區暨農漁民活動中心,
西嶼鄉,90,小門村,1鄰-6鄰,小門資訊站,新設
西嶼鄉,91,大池村,1鄰-13鄰,大池社區暨農漁民活動中心,
西嶼鄉,92,二崁村,1鄰-6鄰,二崁社區活動中心,
西嶼鄉,93,池東村,1鄰-13鄰,池東池西社區活動中心,
西嶼鄉,94,池西村,1鄰-14鄰,池東國小自然課教室,
西嶼鄉,95,赤馬村,1鄰-15鄰,赤馬社區暨農漁民活動中心,
西嶼鄉,96,內垵村,1鄰-18鄰,內垵社區暨農漁民活動中心,
西嶼鄉,97,外垵村,1鄰-17鄰,外垵社區暨農漁民活動中心,
西嶼鄉,98,外垵村,18鄰-35鄰,外垵社區舊活動中心,新設
望安鄉,99,東安村,1鄰-11鄰,東安社區活動中心,
望安鄉,100,西安村,1鄰-12鄰,西安社區活動中心,
望安鄉,101,中社村,1鄰-20鄰,中社社區活動中心,
望安鄉,102,水垵村,1鄰-20鄰,水垵社區活動中心,
望安鄉,103,將軍村,1鄰-7鄰,將軍候船室,
望安鄉,104,將軍村,8鄰-21鄰,將軍社區活動中心,
望安鄉,105,東吉村,1鄰-21鄰,原東吉國小教室,
望安鄉,106,東坪村,1鄰-9鄰,東嶼坪旅遊服務中心,
望安鄉,107,西坪村,1鄰-6鄰,西坪社區活動中心,
望安鄉,108,花嶼村,1鄰-8鄰,花嶼社區暨農漁民活動中心,
七美鄉,109,東湖村,1鄰-10鄰,東湖社區暨農漁民活動中心,
七美鄉,110,西湖村,1鄰-10鄰,西湖社區活動中心,
七美鄉,111,中和村,1鄰-10鄰,中和社區活動中心,
七美鄉,112,平和村,1鄰-10鄰,平和社區活動中心,
七美鄉,113,海豐村,1鄰-10鄰,海豐社區活動中心,
七美鄉,114,南港村,1鄰-11鄰,南港社區活動中心,新設
